station,fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,normalized_width,mean_interval_score
CSGS2,q1_2020,1,robust_local_cqr,combined_outage,down,96,0.7395833333333334,0.16041666666666665,39.15971374511719,0.3012285530567169,91.79341888427734
CSGS2,q1_2020,1,robust_local_cqr,combined_outage,up,87,0.6666666666666666,0.2333333333333334,30.521156311035156,0.23477812111377716,70.07522583007812
CSGS2,q1_2020,1,robust_local_cqr,irradiance_outage,down,96,0.5625,0.3375,30.85524559020996,0.2373480498790741,85.04190826416016
CSGS2,q1_2020,1,robust_local_cqr,irradiance_outage,up,87,0.6206896551724138,0.2793103448275862,31.78778648376465,0.24452143907546997,77.88407897949219
CSGS2,q1_2020,1,robust_local_cqr,recent_power_outage,down,96,0.7083333333333334,0.19166666666666665,35.17735290527344,0.2705950140953064,80.3611068725586
CSGS2,q1_2020,1,robust_local_cqr,recent_power_outage,up,87,0.6091954022988506,0.2908045977011494,31.422710418701172,0.24171315133571625,80.28276824951172
CSGS2,q1_2020,1,robust_local_cqr,weather_outage,down,96,0.5729166666666666,0.3270833333333334,31.28523826599121,0.24065567553043365,84.91106414794922
CSGS2,q1_2020,1,robust_local_cqr,weather_outage,up,87,0.5287356321839081,0.37126436781609196,30.033952713012695,0.2310304045677185,85.24334716796875
CSGS2,q1_2020,1,robust_risk_mondrian,clean,down,96,0.5104166666666666,0.3895833333333334,28.298131942749023,0.21767793595790863,93.9217758178711
CSGS2,q1_2020,1,robust_risk_mondrian,clean,up,87,0.5057471264367817,0.39425287356321836,27.08416175842285,0.20833970606327057,89.4288101196289
CSGS2,q1_2020,1,robust_risk_mondrian,combined_outage,down,96,0.6875,0.21250000000000002,36.635562896728516,0.28181201219558716,95.0291976928711
CSGS2,q1_2020,1,robust_risk_mondrian,combined_outage,up,87,0.6551724137931034,0.2448275862068966,29.06752586364746,0.22359634935855865,74.96321868896484
CSGS2,q1_2020,1,robust_risk_mondrian,irradiance_outage,down,96,0.4791666666666667,0.42083333333333334,29.94429588317871,0.23034073412418365,90.8663558959961
CSGS2,q1_2020,1,robust_risk_mondrian,irradiance_outage,up,87,0.5517241379310345,0.34827586206896555,28.41367530822754,0.21856673061847687,85.49247741699219
CSGS2,q1_2020,1,robust_risk_mondrian,recent_power_outage,down,96,0.5729166666666666,0.3270833333333334,32.21711349487305,0.24782395362854004,91.57465362548828
CSGS2,q1_2020,1,robust_risk_mondrian,recent_power_outage,up,87,0.47126436781609193,0.4287356321839081,26.864620208740234,0.20665092766284943,97.57219696044922
CSGS2,q1_2020,1,robust_risk_mondrian,weather_outage,down,96,0.5104166666666666,0.3895833333333334,28.762176513671875,0.22124750912189484,94.07159423828125
CSGS2,q1_2020,1,robust_risk_mondrian,weather_outage,up,87,0.4942528735632184,0.4057471264367816,26.641874313354492,0.20493748784065247,94.02577209472656
