station,fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,normalized_width,mean_interval_score
CSGS2,q2_2020,1,clean_condition_cqr,recent_power_outage,up,154,0.24675324675324675,0.6532467532467533,59.023109436035156,0.45402392745018005,345.747314453125
CSGS2,q2_2020,1,clean_condition_cqr,weather_outage,down,183,0.30601092896174864,0.5939890710382514,22.32111358642578,0.1717008799314499,149.82681274414062
CSGS2,q2_2020,1,clean_condition_cqr,weather_outage,up,154,0.18831168831168832,0.7116883116883117,22.551713943481445,0.1734747290611267,160.91629028320312
CSGS2,q2_2020,1,lgbm_condition_cqr,clean,down,183,0.5792349726775956,0.3207650273224044,27.956321716308594,0.2150486260652542,87.84537506103516
CSGS2,q2_2020,1,lgbm_condition_cqr,clean,up,154,0.2727272727272727,0.6272727272727273,29.009056091308594,0.22314658761024475,142.95745849609375
CSGS2,q2_2020,1,lgbm_condition_cqr,combined_outage,down,183,0.7103825136612022,0.18961748633879782,58.57061004638672,0.4505431652069092,106.18659210205078
CSGS2,q2_2020,1,lgbm_condition_cqr,combined_outage,up,154,0.23376623376623376,0.6662337662337663,60.206851959228516,0.4631296396255493,331.24896240234375
CSGS2,q2_2020,1,lgbm_condition_cqr,irradiance_outage,down,183,0.6284153005464481,0.2715846994535519,29.069746017456055,0.2236134260892868,82.62358093261719
CSGS2,q2_2020,1,lgbm_condition_cqr,irradiance_outage,up,154,0.2922077922077922,0.6077922077922078,30.348365783691406,0.23344896733760834,134.5845184326172
CSGS2,q2_2020,1,lgbm_condition_cqr,recent_power_outage,down,183,0.7158469945355191,0.18415300546448088,58.708900451660156,0.4516069293022156,106.65721130371094
