station,fold,horizon_steps,method_base,condition,ramp_group,n_base,coverage_base,coverage_error_base,mean_width_base,median_width_base,interval_score_base,mae_base,rmse_base,undercoverage_error_base,overcoverage_error_base,normalized_width_base,normalized_interval_score_base,ramp_prevalence_base,method_local,n_local,coverage_local,coverage_error_local,mean_width_local,median_width_local,interval_score_local,mae_local,rmse_local,undercoverage_error_local,overcoverage_error_local,normalized_width_local,normalized_interval_score_local,ramp_prevalence_local,undercoverage_improvement,coverage_error_improvement,interval_score_change,width_change
CSGS2,q1_2020,4,robust_condition_cqr,irradiance_outage,non_ramp,5351,0.909736497850869,0.009736497850868941,20.451545806273565,17.08696687221527,32.066417339630355,5.56226485853801,9.989192085896264,0.0,0.009736497850868941,0.15731958312518127,0.24666474876638736,,robust_local_cqr,5351,0.9175854980377499,0.01758549803774989,22.70383503692149,21.58307647705078,29.848497661719474,5.56226485853801,9.989192085896264,0.0,0.01758549803774989,0.17464488489939609,0.22960382816707287,,0.0,-0.00784900018688095,-2.2179196779108814,2.252289230647925
CSGS2,q1_2020,4,robust_condition_cqr,irradiance_outage,ramp,473,0.6997885835095138,0.20021141649048624,31.753932434821355,30.641387939453125,73.498066104854,11.949798403217223,15.68236075679166,0.20021141649048624,0.0,0.24426101872939504,0.5653697392681077,0.08121565934065934,robust_local_cqr,473,0.8118393234672304,0.0881606765327696,38.193511628008295,37.781039237976074,63.792964447187316,11.949798403217223,15.68236075679166,0.0881606765327696,0.0,0.29379624329237153,0.4907151111322101,0.08121565934065934,0.11205073995771664,0.11205073995771664,-9.705101657666688,6.43957919318694
CSGS2,q1_2020,4,robust_condition_cqr,recent_power_outage,non_ramp,5351,0.8575967108951598,0.04240328910484026,20.694989105579463,17.933725476264954,37.82306907068025,6.592868379604488,11.384578038983028,0.04240328910484026,0.0,0.15919222388907278,0.29094668515907884,,robust_local_cqr,5351,0.8899271164268361,0.010072883573163938,23.695196646719076,21.804513454437256,33.68979394689155,6.592868379604488,11.384578038983028,0.010072883573163938,0.0,0.1822707434363006,0.259152261129935,,0.03233040553167632,0.03233040553167632,-4.1332751237886995,3.0002075411396127
CSGS2,q1_2020,4,robust_condition_cqr,recent_power_outage,ramp,473,0.7780126849894292,0.12198731501057081,33.63013459779874,35.336591720581055,63.27803699174466,11.811787916981393,15.002588592515199,0.12198731501057081,0.0,0.25869334305999026,0.4867541307057282,0.08121565934065934,robust_local_cqr,473,0.8562367864693446,0.043763213530655376,39.471357778035674,42.59986400604248,57.1935675380846,11.811787916981393,15.002588592515199,0.043763213530655376,0.0,0.3036258290618129,0.4399505195237277,0.08121565934065934,0.07822410147991543,0.07822410147991543,-6.084469453660063,5.841223180236938
CSGS2,q1_2020,4,robust_condition_cqr,weather_outage,non_ramp,5351,0.909736497850869,0.009736497850868941,20.080732131400534,17.846815824508667,31.69284337911587,5.185114928900724,9.349391827747775,0.0,0.009736497850868941,0.15446717024154258,0.24379110291627593,,robust_local_cqr,5351,0.9192674266492245,0.01926742664922443,21.759271330224067,20.82538390159607,28.896648707305932,5.185114928900724,9.349391827747775,0.0,0.01926742664922443,0.16737901023249283,0.22228191313312257,,0.0,-0.009530928798355487,-2.796194671809939,1.6785391988235325
CSGS2,q1_2020,4,robust_condition_cqr,weather_outage,ramp,473,0.6025369978858351,0.2974630021141649,30.435344844524913,28.097482681274414,89.04465415693001,13.220681476479605,16.852383057008527,0.2974630021141649,0.0,0.23411803726557626,0.6849588781302308,0.08121565934065934,robust_local_cqr,473,0.7293868921775899,0.17061310782241013,36.642105731821715,36.6513786315918,72.57140520634032,13.220681476479605,16.852383057008527,0.17061310782241013,0.0,0.281862351783244,0.5582415785103101,0.08121565934065934,0.12684989429175475,0.12684989429175475,-16.473248950589692,6.206760887296802
CSGS2,q2_2020,1,robust_condition_cqr,clean,non_ramp,5487,0.8955713504647348,0.004428649535265228,12.597968308311767,11.468761444091797,15.652493639938575,2.438869428771516,4.213079450715495,0.004428649535265228,0.0,0.09690744852547513,0.12040379723029673,,robust_local_cqr,5487,0.9280116639329324,0.028011663932932418,14.615115721787763,13.98314094543457,16.170276999512442,2.438869428771516,4.213079450715495,0.0,0.028011663932932418,0.1124239670906751,0.1243867461500957,,0.004428649535265228,-0.02358301439766719,0.5177833595738672,2.017147413475996
CSGS2,q2_2020,1,robust_condition_cqr,clean,ramp,337,0.41543026706231456,0.48456973293768546,27.666247297111536,27.419952392578125,124.70248088214093,16.950374313207337,19.1904598874601,0.48456973293768546,0.0,0.21281728690085797,0.9592498529395457,0.05786401098901099,robust_local_cqr,337,0.5222551928783383,0.3777448071216617,32.642811874253816,31.415260314941406,105.23169717873593,16.950374313207337,19.1904598874601,0.3777448071216617,0.0,0.2510985528788755,0.809474593682584,0.05786401098901099,0.10682492581602376,0.10682492581602376,-19.470783703405004,4.97656457714228
CSGS2,q2_2020,1,robust_condition_cqr,combined_outage,non_ramp,5487,0.9283761618370694,0.02837616183706937,23.45102393509453,23.63735055923462,32.56992071035584,5.404125828864211,9.493405858081905,0.0,0.02837616183706937,0.18039249180841946,0.2505378516181218,,robust_local_cqr,5487,0.9121560051029707,0.012156005102970657,24.718663025614813,23.927284240722656,32.35313280630624,5.404125828864211,9.493405858081905,0.0,0.012156005102970657,0.19014356173549857,0.24887025235620186,,0.0,0.016220156734098712,-0.21678790404959614,1.2676390905202837
CSGS2,q2_2020,1,robust_condition_cqr,combined_outage,ramp,337,0.658753709198813,0.24124629080118698,37.41274280673672,37.09880065917969,104.63790578260266,16.45904685764709,20.208962248697166,0.24124629080118698,0.0,0.2877903292825902,0.804906967558482,0.05786401098901099,robust_local_cqr,337,0.7359050445103857,0.16409495548961428,43.225990030815055,44.147727966308594,93.66344437330342,16.45904685764709,20.208962248697166,0.16409495548961428,0.0,0.33250761562165426,0.7204880336407955,0.05786401098901099,0.0771513353115727,0.0771513353115727,-10.974461409299238,5.8132472240783315
