station,fold,horizon_steps,method,condition,ramp_direction,attempted_n,usable_n,covered_n,mean_width,median_width,interval_score,mae,n,unavailable_n,availability_rate,coverage,issued_coverage,service_coverage,coverage_error,undercoverage_error,overcoverage_error,service_coverage_error,service_undercoverage_error,service_overcoverage_error,normalized_width,normalized_interval_score,rmse,metric_denominator,service_denominator,mean_interval_score
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,down,96,96,60,33.45621236413717,32.67835760116577,88.96830594291289,13.462939181675514,96,0,1.0,0.625,0.625,0.625,0.275,0.275,0.0,0.275,0.275,0.0,0.2573554797241321,0.684371584176253,16.975755017256727,usable_predictions,attempted_predictions,88.96830594291289
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,up,87,87,45,27.230154333443476,26.182373046875,94.93072716943149,13.81391479229105,87,0,1.0,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.38275862068965516,0.38275862068965516,0.0,0.38275862068965516,0.38275862068965516,0.0,0.2094627256418729,0.7302363628417807,15.82755420619451,usable_predictions,attempted_predictions,94.93072716943149
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,down,96,96,40,24.510813429951668,23.43618679046631,111.45482594768207,14.90362860634923,96,0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.48333333333333334,0.48333333333333334,0.0,0.48333333333333334,0.48333333333333334,0.0,0.1885447186919359,0.8573448149821697,16.77717303621783,usable_predictions,attempted_predictions,111.45482594768207
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,up,87,87,30,21.816628711662073,22.213077545166016,117.56754748369086,14.579799136896243,87,0,1.0,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.5551724137931034,0.5551724137931034,0.0,0.5551724137931034,0.5551724137931034,0.0,0.16782022085893902,0.9043657498745451,16.39999875230784,usable_predictions,attempted_predictions,117.56754748369086
CSGS2,q1_2020,1,robust_local_cqr,clean,down,96,96,48,28.004462502896786,27.356591820716858,93.4155728990833,14.757819542040428,96,0,1.0,0.5,0.5,0.5,0.4,0.4,0.0,0.4,0.4,0.0,0.21541894232997527,0.7185813299929484,16.687920864778135,usable_predictions,attempted_predictions,93.4155728990833
CSGS2,q1_2020,1,robust_local_cqr,clean,up,87,87,46,28.42863970789416,28.945541381835938,84.15532901369292,14.310880880246216,87,0,1.0,0.5287356321839081,0.5287356321839081,0.5287356321839081,0.37126436781609196,0.37126436781609196,0.0,0.37126436781609196,0.37126436781609196,0.0,0.21868184390687814,0.6473486847207148,16.239110991315165,usable_predictions,attempted_predictions,84.15532901369292
CSGS2,q1_2020,1,robust_local_cqr,combined_outage,down,96,96,69,40.37787898707514,39.399555683135986,88.46487593480076,13.830414065470299,96,0,1.0,0.71875,0.71875,0.71875,0.18125000000000002,0.18125000000000002,0.0,0.18125000000000002,0.18125000000000002,0.0,0.31059906913134727,0.6804990456523136,17.262410460616945,usable_predictions,attempted_predictions,88.46487593480076
CSGS2,q1_2020,1,robust_local_cqr,combined_outage,up,87,87,44,30.317358137547284,29.96807861328125,81.78290563342215,13.53472587980073,87,0,1.0,0.5057471264367817,0.5057471264367817,0.5057471264367817,0.39425287356321836,0.39425287356321836,0.0,0.39425287356321836,0.39425287356321836,0.0,0.23321044721190218,0.6290992741032473,15.187410165432171,usable_predictions,attempted_predictions,81.78290563342215
CSGS2,q1_2020,1,robust_local_cqr,irradiance_outage,down,96,96,48,29.517066590487957,29.012460708618164,88.19447953253984,14.88650489722689,96,0,1.0,0.5,0.5,0.5,0.4,0.4,0.0,0.4,0.4,0.0,0.2270543583883689,0.6784190733272296,16.824385688469174,usable_predictions,attempted_predictions,88.19447953253984
CSGS2,q1_2020,1,robust_local_cqr,irradiance_outage,up,87,87,48,28.994630375127684,29.39783477783203,74.84349654186731,14.198594652373215,87,0,1.0,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.34827586206896555,0.34827586206896555,0.0,0.34827586206896555,0.34827586206896555,0.0,0.22303561827021295,0.5757192041682101,15.952865132535216,usable_predictions,attempted_predictions,74.84349654186731
CSGS2,q1_2020,1,robust_local_cqr,recent_power_outage,down,96,96,64,36.09806360801061,34.50524425506592,78.28241228560607,13.462939181675514,96,0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2333333333333334,0.2333333333333334,0.0,0.2333333333333334,0.2333333333333334,0.0,0.2776774123693124,0.6021724021969698,16.975755017256727,usable_predictions,attempted_predictions,78.28241228560607
CSGS2,q1_2020,1,robust_local_cqr,recent_power_outage,up,87,87,55,31.83513790437545,31.326221466064453,79.31494807100844,13.81391479229105,87,0,1.0,0.632183908045977,0.632183908045977,0.632183908045977,0.267816091954023,0.267816091954023,0.0,0.267816091954023,0.267816091954023,0.0,0.24488567618750345,0.6101149851616035,15.82755420619451,usable_predictions,attempted_predictions,79.31494807100844
CSGS2,q1_2020,1,robust_local_cqr,weather_outage,down,96,96,49,28.04870769629876,26.36673593521118,92.43573062370221,14.90362860634923,96,0,1.0,0.5104166666666666,0.5104166666666666,0.5104166666666666,0.3895833333333334,0.3895833333333334,0.0,0.3895833333333334,0.3895833333333334,0.0,0.2157592899715289,0.7110440817207863,16.77717303621783,usable_predictions,attempted_predictions,92.43573062370221
