station,fold,horizon_steps,method,worst_undercoverage,mean_abs_coverage_error,mean_normalized_width,mean_normalized_interval_score,attempted_predictions,usable_predictions,unavailable_predictions,minimum_group_availability,mean_group_service_coverage
CSGS6,q3_2020,1,robust_local_cqr,0.22328308207705194,0.11199466114038978,0.250119483552574,0.41669206493974686,29440,29440,0,1.0,0.8222672931215644
CSGS6,q3_2020,1,robust_risk_mondrian,0.27688442211055275,0.13606366108878673,0.23137995357828967,0.4385218310038451,29440,29440,0,1.0,0.778731273706148
CSGS6,q3_2020,1,robust_rolling_cqr,0.3556113902847572,0.16299157856946803,0.2236967343448228,0.459798223660618,29440,29440,0,1.0,0.770026754448865
CSGS6,q3_2020,4,clean_condition_cqr,0.34273743016759783,0.11788904155162956,0.33607747502046076,0.5834774927513353,29440,29440,0,1.0,0.7944543459193681
CSGS6,q3_2020,4,lgbm_condition_cqr,0.18212290502793294,0.07189717300289052,0.3576156919470392,0.4661295023646549,29440,29440,0,1.0,0.8510742200158136
CSGS6,q3_2020,4,oracle_ramp_mondrian,0.06976024748646559,0.03799651756125594,0.3197598566807096,0.4244259172133211,29440,29440,0,1.0,0.86624929249461
CSGS6,q3_2020,4,persistence_condition_cqr,0.7924581005586593,0.3032827169935234,0.4935310524357848,1.0164165883584697,29440,29440,0,1.0,0.6773050633622384
CSGS6,q3_2020,4,robust_condition_cqr,0.2589385474860335,0.13745760368464488,0.2527685806620482,0.5016348543612388,29440,29440,0,1.0,0.7625423963153551
CSGS6,q3_2020,4,robust_local_cqr,0.1611731843575419,0.0757975476026909,0.2857101428383073,0.45062481210453126,29440,29440,0,1.0,0.8246742234723283
CSGS6,q3_2020,4,robust_risk_mondrian,0.19469273743016757,0.10331522983663648,0.27076100659643104,0.46912711403407636,29440,29440,0,1.0,0.7966847701633635
CSGS6,q3_2020,4,robust_rolling_cqr,0.20865921787709496,0.10022391735472916,0.27978301612398454,0.47033869631829023,29440,29440,0,1.0,0.819497660371489
CSGS6,q4_2020,1,clean_condition_cqr,0.5414473684210527,0.19100399638063642,0.339163331550326,0.6788085188504531,29440,29440,0,1.0,0.7465031669431459
CSGS6,q4_2020,1,lgbm_condition_cqr,0.393421052631579,0.14369212788418037,0.34765520680619016,0.5816384688745986,29440,29440,0,1.0,0.7851115970441864
CSGS6,q4_2020,1,oracle_ramp_mondrian,0.044736842105263186,0.04679347006484692,0.2820283259610462,0.36223527298130326,29440,29440,0,1.0,0.91653031217011
CSGS6,q4_2020,1,persistence_condition_cqr,0.8736842105263158,0.3621923540944051,0.3334445931040123,0.9594357764135989,29440,29440,0,1.0,0.597807645905595
CSGS6,q4_2020,1,robust_condition_cqr,0.4,0.2076355376263007,0.20358790878895966,0.5023681981149931,29440,29440,0,1.0,0.7694776428894586
CSGS6,q4_2020,1,robust_local_cqr,0.31447368421052635,0.17247398582415926,0.22466425775937574,0.4671541773507677,29440,29440,0,1.0,0.8047108279294225
CSGS6,q4_2020,1,robust_risk_mondrian,0.3276315789473685,0.16795732167093952,0.22277420896884706,0.4622092890372341,29440,29440,0,1.0,0.8041415321972553
CSGS6,q4_2020,1,robust_rolling_cqr,0.4230263157894737,0.21424464635801538,0.19346845232087082,0.5157153526826127,29440,29440,0,1.0,0.7438499095159101
CSGS6,q4_2020,4,clean_condition_cqr,0.07659574468085106,0.05713978568602829,0.3176928072146691,0.42397750759480896,29440,29440,0,1.0,0.9170967852904246
CSGS6,q4_2020,4,lgbm_condition_cqr,0.13297872340425532,0.06125870758010974,0.32426399762332914,0.38570437584576334,29440,29440,0,1.0,0.9053108928602143
CSGS6,q4_2020,4,oracle_ramp_mondrian,0.0,0.05152505203047867,0.27214538191032184,0.33811871896509854,29440,29440,0,1.0,0.9515250520304788
CSGS6,q4_2020,4,persistence_condition_cqr,0.674468085106383,0.32435387605565974,0.4689876531150688,0.981700689661045,29440,29440,0,1.0,0.6356461239443403
CSGS6,q4_2020,4,robust_condition_cqr,0.03936170212765955,0.04516821754760144,0.22023452735272783,0.336712439039389,29440,29440,0,1.0,0.9200618345688781
CSGS6,q4_2020,4,robust_local_cqr,0.014893617021276673,0.04118044686011112,0.23688294835558793,0.33249275286661867,29440,29440,0,1.0,0.9350102340941536
CSGS6,q4_2020,4,robust_risk_mondrian,0.0,0.04036472935551004,0.24576606300546983,0.33749305363560544,29440,29440,0,1.0,0.9403647293555102
CSGS6,q4_2020,4,robust_rolling_cqr,0.07553191489361699,0.05562840778135157,0.1878272555889143,0.3369048116028892,29440,29440,0,1.0,0.8826496843770963
CSGS7,q1_2020,1,clean_condition_cqr,0.46335616438356164,0.15912605876816902,0.4114075211168607,0.7816200297605327,29120,29120,0,1.0,0.775606765659312
CSGS7,q1_2020,1,lgbm_condition_cqr,0.3366438356164384,0.12211779776220852,0.4251782977933723,0.6769994569609127,29120,29120,0,1.0,0.799103576283593
CSGS7,q1_2020,1,oracle_ramp_mondrian,0.047260273972602795,0.03751176409076651,0.3493439533892782,0.4561415888782804,29120,29120,0,1.0,0.9051981595733556
CSGS7,q1_2020,1,persistence_condition_cqr,0.8297945205479452,0.2876694029070375,0.4041496840473524,1.0775538236284066,29120,29120,0,1.0,0.6736283070166266
CSGS7,q1_2020,1,robust_condition_cqr,0.35376712328767124,0.1791048834047893,0.2500704165795042,0.6127278995487726,29120,29120,0,1.0,0.7678035135417756
CSGS7,q1_2020,1,robust_local_cqr,0.24589041095890418,0.12482563003241662,0.2995184069689767,0.5257494171255541,29120,29120,0,1.0,0.8481133012652933
CSGS7,q1_2020,1,robust_risk_mondrian,0.26472602739726026,0.13270469517933703,0.2921923880765168,0.540444260458113,29120,29120,0,1.0,0.8292800376450904
CSGS7,q1_2020,1,robust_rolling_cqr,0.35376712328767124,0.1785788978354073,0.2550218954664034,0.6053029716428839,29120,29120,0,1.0,0.7727569800271882
CSGS7,q1_2020,4,clean_condition_cqr,0.08900343642611686,0.051122253867650805,0.3791337861946832,0.5295459127298804,29120,29120,0,1.0,0.8856783382453226
CSGS7,q1_2020,4,lgbm_condition_cqr,0.07800687285223373,0.043592225449688896,0.382982291457279,0.4508170399584036,29120,29120,0,1.0,0.8909127176082035
CSGS7,q1_2020,4,oracle_ramp_mondrian,0.027946898603799508,0.023724963209239724,0.30428824322184006,0.3893728286519197,29120,29120,0,1.0,0.9144596851135656
CSGS7,q1_2020,4,persistence_condition_cqr,0.2326460481099657,0.12056543328149986,0.5995788655753443,0.8541537396439096,29120,29120,0,1.0,0.8453764298450738
CSGS7,q1_2020,4,robust_condition_cqr,0.05601374570446738,0.04337425740082227,0.25499729314764225,0.39263492499492486,29120,29120,0,1.0,0.8923089653046024
CSGS7,q1_2020,4,robust_local_cqr,0.02577319587628868,0.04013162086207184,0.29428868654966944,0.3833078993917375,29120,29120,0,1.0,0.9226058476661955
CSGS7,q1_2020,4,robust_risk_mondrian,0.04982817869415812,0.03255589403317185,0.27718496949378263,0.38738667678255495,29120,29120,0,1.0,0.9142053785692543
CSGS7,q1_2020,4,robust_rolling_cqr,0.06975945017182128,0.04463904154465348,0.24929090133141352,0.39565266349823175,29120,29120,0,1.0,0.8806527872491209
CSGS7,q2_2020,1,clean_condition_cqr,0.4758706467661692,0.1633628669401994,0.4195798899284635,0.6419877912616689,29120,29120,0,1.0,0.8273429664426869
CSGS7,q2_2020,1,lgbm_condition_cqr,0.22960199004975124,0.10509306059344707,0.43261538009058587,0.5492241889912395,29120,29120,0,1.0,0.8745457969118551
CSGS7,q2_2020,1,oracle_ramp_mondrian,0.0015936254980080111,0.043317971893520435,0.36904884393725657,0.4087647340269524,29120,29120,0,1.0,0.9429992467939188
CSGS7,q2_2020,1,persistence_condition_cqr,0.8925373134328358,0.3205123783473073,0.4093044753684169,0.964248087540566,29120,29120,0,1.0,0.6849899902876058
CSGS7,q2_2020,1,robust_condition_cqr,0.3054726368159204,0.14859923490119126,0.25272528669138317,0.48572957632192565,29120,29120,0,1.0,0.795862916493231
CSGS7,q2_2020,1,robust_local_cqr,0.11019900497512436,0.07495153713504192,0.3093440055001836,0.42946073189258965,29120,29120,0,1.0,0.8876381042992211
CSGS7,q2_2020,1,robust_risk_mondrian,0.12139303482587072,0.07910645973320649,0.29937629327873283,0.43377317763886303,29120,29120,0,1.0,0.8748776040118134
CSGS7,q2_2020,1,robust_rolling_cqr,0.300497512437811,0.15128362173197757,0.2530783697817928,0.48639631944723793,29120,29120,0,1.0,0.7987960595429229
CSGS7,q2_2020,4,clean_condition_cqr,0.2600377002827522,0.09570358063639708,0.39566417577804125,0.5845745879267754,29120,29120,0,1.0,0.8611889717768306
CSGS7,q2_2020,4,lgbm_condition_cqr,0.06116870876531577,0.058643426997652924,0.4214215662776778,0.47250783749980185,29120,29120,0,1.0,0.9341759434915267
CSGS7,q2_2020,4,oracle_ramp_mondrian,0.04703110273327049,0.02172566850623414,0.31894907912603954,0.4316316955600678,29120,29120,0,1.0,0.8877011633224452
CSGS7,q2_2020,4,persistence_condition_cqr,0.29585296889726675,0.14530429839025807,0.6113044239261882,0.8755943890367824,29120,29120,0,1.0,0.8677925170518981
CSGS7,q2_2020,4,robust_condition_cqr,0.15730442978322334,0.08433817620627745,0.28794535213421624,0.46428750721574075,29120,29120,0,1.0,0.8500309189018477
CSGS7,q2_2020,4,robust_local_cqr,0.05362865221489166,0.03378352573630026,0.3349899685154976,0.4345972837010862,29120,29120,0,1.0,0.8965544965185812
CSGS7,q2_2020,4,robust_risk_mondrian,0.11300659754948161,0.05404424183191871,0.3120445867718161,0.4491046910167201,29120,29120,0,1.0,0.8736483888630214
CSGS7,q2_2020,4,robust_rolling_cqr,0.1620169651272385,0.08598223068449204,0.2842849992697119,0.4701222879066524,29120,29120,0,1.0,0.8396108828993837
CSGS7,q3_2020,1,clean_condition_cqr,0.4344827586206897,0.14792408231368187,0.3859403886624525,0.6555317402772708,29440,29440,0,1.0,0.803527530589544
CSGS7,q3_2020,1,lgbm_condition_cqr,0.2211206896551724,0.09440141824249165,0.4058780135284515,0.5786968378367867,29440,29440,0,1.0,0.8510824527252503
CSGS7,q3_2020,1,oracle_ramp_mondrian,0.05625000000000002,0.022746106785317032,0.3326281510481127,0.41557889821451977,29440,29440,0,1.0,0.9061498887652947
CSGS7,q3_2020,1,persistence_condition_cqr,0.6392241379310345,0.23954810901001117,0.39692225185309454,0.8807748295722082,29440,29440,0,1.0,0.7348067296996663
CSGS7,q3_2020,1,robust_condition_cqr,0.3105603448275862,0.1471718576195773,0.25513309687531366,0.5130772348199456,29440,29440,0,1.0,0.7835942714126808
CSGS7,q3_2020,1,robust_local_cqr,0.17262931034482765,0.10100458843159066,0.2938798675384035,0.4567183415992474,29440,29440,0,1.0,0.8479873470522803
CSGS7,q3_2020,1,robust_risk_mondrian,0.18879310344827593,0.10846843715239154,0.28421895411264586,0.46951562056253093,29440,29440,0,1.0,0.8328218854282536
CSGS7,q3_2020,1,robust_rolling_cqr,0.28900862068965516,0.14622358175750833,0.2658046355037785,0.5016769352639562,29440,29440,0,1.0,0.8020425472747498
CSGS7,q3_2020,4,clean_condition_cqr,0.25608308605341246,0.1067096468272825,0.3670054943388409,0.6312355459235441,29440,29440,0,1.0,0.8238214173515159
CSGS7,q3_2020,4,lgbm_condition_cqr,0.09782393669634026,0.044619791276885166,0.4108697752731539,0.5030956897154043,29440,29440,0,1.0,0.8938581691206042
CSGS7,q3_2020,4,oracle_ramp_mondrian,0.06023738872403561,0.025967869936744624,0.35677970214296345,0.4782348304270204,29440,29440,0,1.0,0.8740321300632553
CSGS7,q3_2020,4,persistence_condition_cqr,0.502373887240356,0.20922854546269484,0.5477368456765273,1.0059463803969035,29440,29440,0,1.0,0.7722354693004793
CSGS7,q3_2020,4,robust_condition_cqr,0.18684470820969334,0.09597472704900592,0.30601041821423547,0.538463757844193,29440,29440,0,1.0,0.8192190396108259
CSGS7,q3_2020,4,robust_local_cqr,0.10672601384767555,0.06819997456723224,0.3498971506274871,0.4875394143392979,29440,29440,0,1.0,0.8705738618075884
CSGS7,q3_2020,4,robust_risk_mondrian,0.17101879327398617,0.07447718321753717,0.32477255435681773,0.5174094712875942,29440,29440,0,1.0,0.8376819309920179
CSGS7,q3_2020,4,robust_rolling_cqr,0.16607319485657768,0.09217435358889006,0.31961790722115985,0.5258147152920593,29440,29440,0,1.0,0.83975101036436
CSGS7,q4_2020,1,clean_condition_cqr,0.4281690140845071,0.18513051996187652,0.35317389528412824,0.7411911285949985,29440,29440,0,1.0,0.7652830138727099
CSGS7,q4_2020,1,lgbm_condition_cqr,0.3471830985915493,0.1433630731758975,0.3740408697662494,0.6411109034126701,29440,29440,0,1.0,0.7929527162977867
CSGS7,q4_2020,1,oracle_ramp_mondrian,0.03204225352112677,0.03518293974372551,0.33493105057211114,0.4153244941004897,29440,29440,0,1.0,0.9222251932648522
CSGS7,q4_2020,1,persistence_condition_cqr,0.5161971830985916,0.21392354124748497,0.3811395936681061,0.9312914694927235,29440,29440,0,1.0,0.746076458752515
CSGS7,q4_2020,1,robust_condition_cqr,0.33661971830985915,0.17666340146139997,0.2539067302455736,0.5334164495298863,29440,29440,0,1.0,0.7963817113205549
CSGS7,q4_2020,1,robust_local_cqr,0.24330985915492964,0.13369188817113206,0.2816354018110053,0.49143942467211926,29440,29440,0,1.0,0.8400299163401461
CSGS7,q4_2020,1,robust_risk_mondrian,0.2045774647887324,0.1240188499417558,0.2841375737487784,0.48022624308002293,29440,29440,0,1.0,0.8511315259980938
CSGS7,q4_2020,1,robust_rolling_cqr,0.3190140845070423,0.1716358678386106,0.2502541950550487,0.5325149159598459,29440,29440,0,1.0,0.7927626284019909
CSGS7,q4_2020,4,clean_condition_cqr,0.17653359298928917,0.0738481890018663,0.3525873544983172,0.5280505315355649,29440,29440,0,1.0,0.8748513444947736
CSGS7,q4_2020,4,lgbm_condition_cqr,0.16743468422135366,0.0900347919483952,0.3804157521378688,0.4947683427953016,29440,29440,0,1.0,0.8477011253649909
