station,horizon_steps,threshold,candidate_method,candidate_eligible_groups,candidate_worst_undercoverage,baseline_eligible_groups,baseline_worst_undercoverage,test_n,ramp_n,ramp_prevalence,station_improvement,absolute_gate_delta,required_minimum_coverage,candidate_absolute_gate_passed,candidate_stations,candidate_stations_passing_absolute_gate,expected_stations,candidate_station_set_complete,candidate_missing_stations,candidate_all_stations_absolute_gate_passed,is_nominal_threshold,minimum_group_n,aggregation_unit
CSGS2,4,0.25,robust_local_cqr,40,0.41282051282051285,40,0.5410256410256411,23424,1036,0.04422814207650273,0.12820512820512825,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS5,4,0.25,robust_local_cqr,40,0.30462427745664744,40,0.3913294797687862,15578,1145,0.073501091282578,0.08670520231213874,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS6,4,0.25,robust_local_cqr,40,0.27575757575757576,40,0.4090909090909091,23424,1596,0.06813524590163934,0.13333333333333336,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS7,4,0.25,robust_local_cqr,40,0.17184466019417477,40,0.3101694915254237,23424,2875,0.12273736338797814,0.13832483133124895,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS8,4,0.25,robust_local_cqr,20,0.016828929068150256,20,0.028824756606397828,23104,251,0.010863919667590028,0.011995827538247572,0.1,0.8,True,5,1,5,True,,False,False,80,station
CSGS2,4,0.25,robust_risk_mondrian,40,0.4641025641025641,40,0.5410256410256411,23424,1036,0.04422814207650273,0.07692307692307698,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS5,4,0.25,robust_risk_mondrian,40,0.30333333333333334,40,0.3913294797687862,15578,1145,0.073501091282578,0.08799614643545284,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS6,4,0.25,robust_risk_mondrian,40,0.31379310344827593,40,0.4090909090909091,23424,1596,0.06813524590163934,0.09529780564263318,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS7,4,0.25,robust_risk_mondrian,40,0.23171521035598708,40,0.3101694915254237,23424,2875,0.12273736338797814,0.07845428116943665,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS8,4,0.25,robust_risk_mondrian,20,0.030041724617524412,20,0.028824756606397828,23104,251,0.010863919667590028,-0.0012169680111265846,0.1,0.8,True,5,1,5,True,,False,False,80,station
CSGS2,4,0.25,robust_rolling_cqr,40,0.5282051282051282,40,0.5410256410256411,23424,1036,0.04422814207650273,0.012820512820512886,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS5,4,0.25,robust_rolling_cqr,40,0.36987951807228914,40,0.3913294797687862,15578,1145,0.073501091282578,0.021449961696497044,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS6,4,0.25,robust_rolling_cqr,40,0.3848484848484849,40,0.4090909090909091,23424,1596,0.06813524590163934,0.024242424242424232,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS7,4,0.25,robust_rolling_cqr,40,0.31355932203389836,40,0.3101694915254237,23424,2875,0.12273736338797814,-0.003389830508474634,0.1,0.8,False,5,1,5,True,,False,False,80,station
CSGS8,4,0.25,robust_rolling_cqr,20,0.004833101529902684,20,0.028824756606397828,23104,251,0.010863919667590028,0.023991655076495144,0.1,0.8,True,5,1,5,True,,False,False,80,station
