fold,horizon_steps,method,condition,ramp_group,n,coverage,coverage_error,mean_width,median_width,interval_score,mae,rmse,undercoverage_error,overcoverage_error,normalized_width,normalized_interval_score
q3_2020,1,robust_risk_mondrian,clean,non_ramp,5434,0.9606183290393817,0.06061832903938169,5.572244356115716,4.272223711013794,6.009399562346605,0.8438706476369949,1.5559285637901545,0.0,0.06061832903938169,0.11144488712231432,0.1201879912469321
q3_2020,1,robust_risk_mondrian,clean,ramp,454,0.5859030837004405,0.3140969162995595,13.860332764914908,14.218465805053711,35.3474511330217,6.641049989519665,7.492879175238516,0.3140969162995595,0.0,0.27720665529829813,0.706949022660434
q3_2020,1,robust_risk_mondrian,combined_outage,non_ramp,5434,0.9527051895472948,0.05270518954729475,11.107738613486662,12.812701225280762,12.586443095277128,2.247109009047655,3.6724692077056735,0.0,0.05270518954729475,0.22215477226973324,0.25172886190554256
q3_2020,1,robust_risk_mondrian,combined_outage,ramp,454,0.8105726872246696,0.08942731277533045,19.057022895975784,19.06701135635376,28.853386657222252,6.081980268729415,7.392674375858869,0.08942731277533045,0.0,0.3811404579195157,0.577067733144445
q3_2020,1,robust_risk_mondrian,irradiance_outage,non_ramp,5434,0.9659550975340448,0.06595509753404483,6.420517759209892,5.397454738616943,6.854674192144773,0.9507061432836131,1.6845960730070895,0.0,0.06595509753404483,0.12841035518419783,0.13709348384289546
q3_2020,1,robust_risk_mondrian,irradiance_outage,ramp,454,0.5704845814977973,0.3295154185022027,13.96793466854824,14.289239406585693,36.155943051530336,6.668354532792179,7.518191189234047,0.3295154185022027,0.0,0.2793586933709648,0.7231188610306067
q3_2020,1,robust_risk_mondrian,recent_power_outage,non_ramp,5434,0.9659550975340448,0.06595509753404483,9.718012540075016,10.453993797302246,10.450196029238313,1.6654795299190779,2.917877501869922,0.0,0.06595509753404483,0.19436025080150032,0.20900392058476627
q3_2020,1,robust_risk_mondrian,recent_power_outage,ramp,454,0.7995594713656388,0.10044052863436126,18.19543450486555,18.373448848724365,27.894823691065092,5.868141722574108,7.230445988188591,0.10044052863436126,0.0,0.36390869009731097,0.5578964738213018
q3_2020,1,robust_risk_mondrian,weather_outage,non_ramp,5434,0.95841001104159,0.05841001104158994,5.677450522737283,4.46873414516449,6.167049671583117,0.8816502171760366,1.6071666077479536,0.0,0.05841001104158994,0.11354901045474566,0.12334099343166233
q3_2020,1,robust_risk_mondrian,weather_outage,ramp,454,0.6123348017621145,0.2876651982378855,13.939568931376357,14.247078895568848,35.346403613555275,6.619671843650583,7.489367431165781,0.2876651982378855,0.0,0.2787913786275271,0.7069280722711055
q3_2020,1,robust_rolling_cqr,clean,non_ramp,5434,0.9527051895472948,0.05270518954729475,5.3011106855678705,4.272223711013794,5.869522057400795,0.8438706476369949,1.5559285637901545,0.0,0.05270518954729475,0.10602221371135741,0.1173904411480159
q3_2020,1,robust_rolling_cqr,clean,ramp,454,0.5286343612334802,0.37136563876651985,12.785994367649376,13.042555332183838,38.60269238947509,6.641049989519665,7.492879175238516,0.37136563876651985,0.0,0.2557198873529875,0.7720538477895018
q3_2020,1,robust_rolling_cqr,combined_outage,non_ramp,5434,0.9205005520794994,0.020500552079499412,9.154069269458212,9.596265316009521,12.107911669346196,2.247109009047655,3.6724692077056735,0.0,0.020500552079499412,0.18308138538916424,0.2421582333869239
q3_2020,1,robust_rolling_cqr,combined_outage,ramp,454,0.6740088105726872,0.22599118942731278,15.030354719198748,14.859481811523438,35.53915204547575,6.081980268729415,7.392674375858869,0.22599118942731278,0.0,0.3006070943839749,0.710783040909515
q3_2020,1,robust_rolling_cqr,irradiance_outage,non_ramp,5434,0.9565697460434303,0.056569746043430236,5.991177356567113,5.38160514831543,6.651732976628155,0.9507061432836131,1.6845960730070895,0.0,0.056569746043430236,0.11982354713134226,0.1330346595325631
q3_2020,1,robust_rolling_cqr,irradiance_outage,ramp,454,0.473568281938326,0.426431718061674,12.443176599285085,12.52011251449585,41.6334040542646,6.668354532792179,7.518191189234047,0.426431718061674,0.0,0.24886353198570169,0.832668081085292
q3_2020,1,robust_rolling_cqr,recent_power_outage,non_ramp,5434,0.9379830695620169,0.03798306956201691,8.236467935358197,8.414542198181152,9.793975712639218,1.6654795299190779,2.917877501869922,0.0,0.03798306956201691,0.16472935870716396,0.19587951425278438
q3_2020,1,robust_rolling_cqr,recent_power_outage,ramp,454,0.7224669603524229,0.17753303964757716,15.35225419266896,15.572951316833496,31.945270439536035,5.868141722574108,7.230445988188591,0.17753303964757716,0.0,0.3070450838533792,0.6389054087907207
q3_2020,1,robust_rolling_cqr,weather_outage,non_ramp,5434,0.9525211630474788,0.05252116304747878,5.414427662970566,4.437371253967285,6.037321498371546,0.8816502171760366,1.6071666077479536,0.0,0.05252116304747878,0.10828855325941132,0.12074642996743093
q3_2020,1,robust_rolling_cqr,weather_outage,ramp,454,0.5572687224669604,0.34273127753303967,12.918964297826594,13.196477890014648,38.17263456594839,6.619671843650583,7.489367431165781,0.34273127753303967,0.0,0.25837928595653187,0.7634526913189679
q3_2020,4,clean_condition_cqr,clean,non_ramp,4887,0.929609167178228,0.029609167178227924,7.781682890920296,7.53547477722168,10.127692105456484,1.8035099254392168,3.0488018531644485,0.0,0.029609167178227924,0.1556336578184059,0.2025538421091297
q3_2020,4,clean_condition_cqr,clean,ramp,1001,0.7452547452547452,0.1547452547452548,10.681640713007658,9.3357572555542,30.740764052360564,4.399906905291679,6.693695448093242,0.1547452547452548,0.0,0.21363281426015315,0.6148152810472113
q3_2020,4,clean_condition_cqr,combined_outage,non_ramp,4887,0.8956414978514426,0.004358502148557375,32.98650211445852,36.15243148803711,38.667668071533726,10.044756126038774,13.92838295298114,0.004358502148557375,0.0,0.6597300422891703,0.7733533614306745
q3_2020,4,clean_condition_cqr,combined_outage,ramp,1001,0.961038961038961,0.061038961038961004,33.35178990702291,36.990997314453125,34.92177502139584,8.054483978332696,10.541853232956186,0.0,0.061038961038961004,0.6670357981404582,0.6984355004279168
q3_2020,4,clean_condition_cqr,irradiance_outage,non_ramp,4887,0.9273582975240434,0.027358297524043396,13.70402939745107,14.36300277709961,16.013086709470596,2.7236051679051108,3.982078548047691,0.0,0.027358297524043396,0.2740805879490214,0.3202617341894119
q3_2020,4,clean_condition_cqr,irradiance_outage,ramp,1001,0.8351648351648352,0.06483516483516483,14.009456805573622,13.835912704467773,25.845924714267102,4.33960832371102,6.339133472280264,0.06483516483516483,0.0,0.28018913611147245,0.5169184942853421
q3_2020,4,clean_condition_cqr,recent_power_outage,non_ramp,4887,0.8829547779824023,0.017045222017597728,30.567766042045466,33.266441345214844,36.46199146682118,8.302155652849386,12.645666324724957,0.017045222017597728,0.0,0.6113553208409094,0.7292398293364236
q3_2020,4,clean_condition_cqr,recent_power_outage,ramp,1001,0.955044955044955,0.05504495504495499,33.075085061651606,34.913551330566406,34.80420501701363,6.364015754673269,9.461094650801801,0.0,0.05504495504495499,0.6615017012330321,0.6960841003402726
q3_2020,4,clean_condition_cqr,weather_outage,non_ramp,4887,0.9320646613464293,0.03206466134642927,8.268062355738564,8.179061889648438,10.60301613314371,1.9049600916374834,3.1794759126514123,0.0,0.03206466134642927,0.1653612471147713,0.2120603226628742
q3_2020,4,clean_condition_cqr,weather_outage,ramp,1001,0.7882117882117882,0.11178821178821186,11.378469491100216,9.83642578125,29.290849214667208,4.33401663799386,6.693506988293444,0.11178821178821186,0.0,0.2275693898220043,0.5858169842933442
q3_2020,4,lgbm_condition_cqr,clean,non_ramp,4887,0.9308369142623286,0.030836914262328596,11.192795998289098,10.247903823852539,12.34311776983296,1.7475779424856825,3.0373546426725193,0.0,0.030836914262328596,0.22385591996578197,0.24686235539665918
q3_2020,4,lgbm_condition_cqr,clean,ramp,1001,0.8121878121878122,0.0878121878121878,14.233531688982909,13.321771144866943,20.564872422090897,4.4600699131603125,6.996066298224303,0.0878121878121878,0.0,0.2846706337796582,0.4112974484418179
q3_2020,4,lgbm_condition_cqr,combined_outage,non_ramp,4887,0.8647431962349089,0.035256803765091105,24.761755215680044,24.10735321044922,27.465377213100837,10.5272006039842,14.629955948626417,0.035256803765091105,0.0,0.49523510431360085,0.5493075442620168
q3_2020,4,lgbm_condition_cqr,combined_outage,ramp,1001,0.977022977022977,0.077022977022977,25.524282884459335,25.75831699371338,25.921589016132838,9.092091720242362,11.720765645858407,0.0,0.077022977022977,0.5104856576891867,0.5184317803226568
q3_2020,4,lgbm_condition_cqr,irradiance_outage,non_ramp,4887,0.9089420912625332,0.008942091262533203,14.725992367202066,13.172369480133057,16.8345800175308,3.0658923433471736,4.3419322963565214,0.0,0.008942091262533203,0.2945198473440413,0.336691600350616
q3_2020,4,lgbm_condition_cqr,irradiance_outage,ramp,1001,0.8861138861138861,0.013886113886113938,16.38784826472104,15.730868339538574,19.533542854478814,4.535070029142258,6.737676488881709,0.013886113886113938,0.0,0.3277569652944208,0.3906708570895763
q3_2020,4,lgbm_condition_cqr,recent_power_outage,non_ramp,4887,0.8882750153468385,0.011724984653161519,19.45503708238726,20.08877730369568,22.074951127159107,9.295170382009426,14.019721381922002,0.011724984653161519,0.0,0.3891007416477452,0.44149902254318213
