fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,mean_interval_score
q1_2020,4,lgbm_condition_cqr,clean,up,611,0.8772504091653028,0.022749590834697186,19.1290283203125,24.759679794311523
q1_2020,4,lgbm_condition_cqr,combined_outage,down,620,0.9838709677419355,0.0,22.05424690246582,22.312726974487305
q1_2020,4,lgbm_condition_cqr,combined_outage,up,611,0.9541734860883797,0.0,31.649538040161133,33.70436096191406
q1_2020,4,lgbm_condition_cqr,irradiance_outage,down,620,0.9806451612903225,0.0,19.380475997924805,20.30086326599121
q1_2020,4,lgbm_condition_cqr,irradiance_outage,up,611,0.9656301145662848,0.0,27.718645095825195,29.272287368774414
q1_2020,4,lgbm_condition_cqr,recent_power_outage,down,620,0.9419354838709677,0.0,17.96274185180664,19.522829055786133
q1_2020,4,lgbm_condition_cqr,recent_power_outage,up,611,0.9181669394435352,0.0,25.572799682617188,30.088577270507812
q1_2020,4,lgbm_condition_cqr,weather_outage,down,620,0.8596774193548387,0.040322580645161366,11.614206314086914,18.51071548461914
q1_2020,4,lgbm_condition_cqr,weather_outage,up,611,0.8657937806873978,0.03420621931260226,19.287172317504883,25.221288681030273
q1_2020,4,oracle_ramp_mondrian,clean,down,620,0.9274193548387096,0.0,14.862662315368652,26.673973083496094
q1_2020,4,oracle_ramp_mondrian,clean,up,611,0.9476268412438625,0.0,15.99437427520752,19.079166412353516
q1_2020,4,oracle_ramp_mondrian,combined_outage,down,620,0.9290322580645162,0.0,19.205299377441406,30.05007553100586
q1_2020,4,oracle_ramp_mondrian,combined_outage,up,611,0.9427168576104746,0.0,19.106735229492188,20.906856536865234
q1_2020,4,oracle_ramp_mondrian,irradiance_outage,down,620,0.9225806451612903,0.0,16.88784408569336,27.918607711791992
q1_2020,4,oracle_ramp_mondrian,irradiance_outage,up,611,0.9345335515548282,0.0,16.563762664794922,19.559568405151367
q1_2020,4,oracle_ramp_mondrian,recent_power_outage,down,620,0.9225806451612903,0.0,15.122478485107422,26.490489959716797
q1_2020,4,oracle_ramp_mondrian,recent_power_outage,up,611,0.9459901800327333,0.0,16.77436065673828,19.111528396606445
q1_2020,4,oracle_ramp_mondrian,weather_outage,down,620,0.9193548387096774,0.0,15.710904121398926,28.51375389099121
q1_2020,4,oracle_ramp_mondrian,weather_outage,up,611,0.939443535188216,0.0,16.94069480895996,19.81293487548828
q1_2020,4,persistence_condition_cqr,clean,down,620,0.6080645161290322,0.2919354838709678,26.496667861938477,45.96662902832031
q1_2020,4,persistence_condition_cqr,clean,up,611,0.5450081833060556,0.3549918166939444,22.184532165527344,47.579002380371094
q1_2020,4,persistence_condition_cqr,combined_outage,down,620,0.6935483870967742,0.20645161290322578,42.744930267333984,63.538368225097656
q1_2020,4,persistence_condition_cqr,combined_outage,up,611,0.8101472995090017,0.08985270049099836,32.130008697509766,42.047916412353516
q1_2020,4,persistence_condition_cqr,irradiance_outage,down,620,0.6080645161290322,0.2919354838709678,26.496667861938477,45.96662902832031
q1_2020,4,persistence_condition_cqr,irradiance_outage,up,611,0.5450081833060556,0.3549918166939444,22.184532165527344,47.579002380371094
q1_2020,4,persistence_condition_cqr,recent_power_outage,down,620,0.6935483870967742,0.20645161290322578,42.744930267333984,63.538368225097656
q1_2020,4,persistence_condition_cqr,recent_power_outage,up,611,0.8101472995090017,0.08985270049099836,32.130008697509766,42.047916412353516
q1_2020,4,persistence_condition_cqr,weather_outage,down,620,0.6080645161290322,0.2919354838709678,26.496667861938477,45.96662902832031
q1_2020,4,persistence_condition_cqr,weather_outage,up,611,0.5450081833060556,0.3549918166939444,22.184532165527344,47.579002380371094
q1_2020,4,robust_condition_cqr,clean,down,620,0.8887096774193548,0.011290322580645218,10.178739547729492,26.762617111206055
q1_2020,4,robust_condition_cqr,clean,up,611,0.8428805237315876,0.057119476268412406,10.597293853759766,19.01708984375
q1_2020,4,robust_condition_cqr,combined_outage,down,620,0.9032258064516129,0.0,14.935012817382812,30.345842361450195
q1_2020,4,robust_condition_cqr,combined_outage,up,611,0.7970540098199672,0.10294599018003281,13.700675010681152,22.07719612121582
q1_2020,4,robust_condition_cqr,irradiance_outage,down,620,0.9,0.0,12.58743953704834,27.893999099731445
q1_2020,4,robust_condition_cqr,irradiance_outage,up,611,0.851063829787234,0.04893617021276597,11.566018104553223,19.526960372924805
q1_2020,4,robust_condition_cqr,recent_power_outage,down,620,0.8806451612903226,0.01935483870967747,11.544625282287598,26.861116409301758
q1_2020,4,robust_condition_cqr,recent_power_outage,up,611,0.8887070376432079,0.011292962356792113,12.614190101623535,18.52947998046875
q1_2020,4,robust_condition_cqr,weather_outage,down,620,0.8903225806451613,0.009677419354838679,11.173030853271484,28.730100631713867
q1_2020,4,robust_condition_cqr,weather_outage,up,611,0.8281505728314239,0.07184942716857612,11.696239471435547,20.327577590942383
q1_2020,4,robust_local_cqr,clean,down,620,0.9048387096774193,0.0,10.957427978515625,26.209115982055664
q1_2020,4,robust_local_cqr,clean,up,611,0.9165302782324058,0.0,14.258550643920898,18.8366756439209
q1_2020,4,robust_local_cqr,combined_outage,down,620,0.8806451612903226,0.01935483870967747,13.719808578491211,30.085845947265625
q1_2020,4,robust_local_cqr,combined_outage,up,611,0.8985270049099836,0.0014729950900164157,16.76555824279785,20.46068572998047
q1_2020,4,robust_local_cqr,irradiance_outage,down,620,0.9096774193548387,0.0,12.73869514465332,26.71453857421875
q1_2020,4,robust_local_cqr,irradiance_outage,up,611,0.911620294599018,0.0,14.964510917663574,18.88738441467285
q1_2020,4,robust_local_cqr,recent_power_outage,down,620,0.8983870967741936,0.001612903225806428,12.276163101196289,26.737878799438477
q1_2020,4,robust_local_cqr,recent_power_outage,up,611,0.939443535188216,0.0,16.32554054260254,19.37852668762207
q1_2020,4,robust_local_cqr,weather_outage,down,620,0.8983870967741936,0.001612903225806428,11.625544548034668,27.88844108581543
q1_2020,4,robust_local_cqr,weather_outage,up,611,0.9050736497545008,0.0,15.285239219665527,20.107173919677734
q1_2020,4,robust_risk_mondrian,clean,down,620,0.9161290322580645,0.0,13.321112632751465,26.841419219970703
q1_2020,4,robust_risk_mondrian,clean,up,611,0.9181669394435352,0.0,14.224833488464355,18.40497398376465
q1_2020,4,robust_risk_mondrian,combined_outage,down,620,0.867741935483871,0.032258064516129004,13.0634183883667,30.793001174926758
q1_2020,4,robust_risk_mondrian,combined_outage,up,611,0.9361702127659575,0.0,19.640439987182617,23.871662139892578
q1_2020,4,robust_risk_mondrian,irradiance_outage,down,620,0.9145161290322581,0.0,15.322330474853516,29.507131576538086
q1_2020,4,robust_risk_mondrian,irradiance_outage,up,611,0.9034369885433715,0.0,14.728742599487305,20.442825317382812
q1_2020,4,robust_risk_mondrian,recent_power_outage,down,620,0.8983870967741936,0.001612903225806428,13.179267883300781,28.36415672302246
q1_2020,4,robust_risk_mondrian,recent_power_outage,up,611,0.9165302782324058,0.0,15.365579605102539,20.079797744750977
q1_2020,4,robust_risk_mondrian,weather_outage,down,620,0.9112903225806451,0.0,13.933086395263672,28.500232696533203
q1_2020,4,robust_risk_mondrian,weather_outage,up,611,0.9018003273322422,0.0,14.907023429870605,19.455934524536133
q1_2020,4,robust_rolling_cqr,clean,down,620,0.8774193548387097,0.022580645161290325,10.274011611938477,26.758373260498047
q1_2020,4,robust_rolling_cqr,clean,up,611,0.8445171849427169,0.05548281505728314,10.680562973022461,18.77425193786621
q1_2020,4,robust_rolling_cqr,combined_outage,down,620,0.896774193548387,0.003225806451612967,14.790215492248535,29.76065444946289
q1_2020,4,robust_rolling_cqr,combined_outage,up,611,0.762684124386252,0.13731587561374803,13.580056190490723,23.346446990966797
q1_2020,4,robust_rolling_cqr,irradiance_outage,down,620,0.896774193548387,0.003225806451612967,12.319575309753418,27.732044219970703
q1_2020,4,robust_rolling_cqr,irradiance_outage,up,611,0.8445171849427169,0.05548281505728314,11.262332916259766,19.4847354888916
q1_2020,4,robust_rolling_cqr,recent_power_outage,down,620,0.8838709677419355,0.016129032258064502,12.530308723449707,26.5546875
q1_2020,4,robust_rolling_cqr,recent_power_outage,up,611,0.8968903436988543,0.00310965630114568,13.814732551574707,18.177980422973633
q1_2020,4,robust_rolling_cqr,weather_outage,down,620,0.8725806451612903,0.02741935483870972,10.842485427856445,28.667591094970703
