horizon_steps,threshold_fraction,method,condition,ramp_group,n,coverage,undercoverage_error,mean_width
1,0.15,robust_risk_mondrian,weather_outage,non_ramp,22877,0.9541023735629671,0.0,5.516489028930664
1,0.15,robust_risk_mondrian,weather_outage,ramp,547,0.37294332723948814,0.5270566727605119,13.877211570739746
1,0.15,robust_rolling_cqr,clean,non_ramp,22877,0.9463216330812606,0.0,5.128574848175049
1,0.15,robust_rolling_cqr,clean,ramp,547,0.3180987202925046,0.5819012797074954,12.85688591003418
1,0.15,robust_rolling_cqr,combined_outage,non_ramp,22877,0.9141932945753377,0.0,8.839384078979492
1,0.15,robust_rolling_cqr,combined_outage,ramp,547,0.546617915904936,0.353382084095064,15.628340721130371
1,0.15,robust_rolling_cqr,irradiance_outage,non_ramp,22877,0.9466276172575075,0.0,5.7119317054748535
1,0.15,robust_rolling_cqr,irradiance_outage,ramp,547,0.3053016453382084,0.5946983546617917,12.79932975769043
1,0.15,robust_rolling_cqr,recent_power_outage,non_ramp,22877,0.9279625825064475,0.0,8.483602523803711
1,0.15,robust_rolling_cqr,recent_power_outage,ramp,547,0.603290676416819,0.29670932358318103,15.94537353515625
1,0.15,robust_rolling_cqr,weather_outage,non_ramp,22877,0.9475455697862482,0.0,5.2813520431518555
1,0.15,robust_rolling_cqr,weather_outage,ramp,547,0.33089579524680074,0.5691042047531993,12.955231666564941
4,0.15,robust_condition_cqr,clean,non_ramp,16705,0.9214007782101167,0.0,7.598270416259766
4,0.15,robust_condition_cqr,clean,ramp,6719,0.8478940318499777,0.05210596815002233,10.455315589904785
4,0.15,robust_condition_cqr,combined_outage,non_ramp,16705,0.9197246333433103,0.0,9.808389663696289
4,0.15,robust_condition_cqr,combined_outage,ramp,6719,0.8807858312248846,0.019214168775115392,13.834992408752441
4,0.15,robust_condition_cqr,irradiance_outage,non_ramp,16705,0.9243340317270279,0.0,8.24972152709961
4,0.15,robust_condition_cqr,irradiance_outage,ramp,6719,0.867093317457955,0.032906682542044985,11.599292755126953
4,0.15,robust_condition_cqr,recent_power_outage,non_ramp,16705,0.9117030829093086,0.0,8.942461967468262
